time	V(h)	V(vin)
1.670583630166572e-005	8.452267e-001	1.000000e+000
1.704497716295639e-005	8.449476e-001	1.000000e+000
1.734361050018106e-005	8.454494e-001	1.000000e+000
1.764385324935967e-005	8.460652e-001	1.000000e+000
1.799155523593249e-005	8.461875e-001	1.000000e+000
1.833201924191923e-005	8.453900e-001	1.000000e+000
1.880043853929653e-005	8.433576e-001	1.000000e+000
1.923591408492387e-005	8.414326e-001	1.000000e+000
1.963941823898621e-005	8.402537e-001	1.000000e+000
2.007818640651138e-005	8.397240e-001	1.000000e+000
2.045916726332523e-005	8.394957e-001	1.000000e+000
2.090117369577936e-005	8.389321e-001	1.000000e+000
2.138407511160841e-005	8.377327e-001	1.000000e+000
2.193721271407325e-005	8.360345e-001	1.000000e+000
2.255227469047222e-005	8.344162e-001	1.000000e+000
2.312097140954181e-005	8.333580e-001	1.000000e+000
2.373047778005487e-005	8.323157e-001	1.000000e+000
2.444784883356953e-005	8.307422e-001	1.000000e+000
2.516588676963225e-005	8.289494e-001	1.000000e+000
2.593331493611657e-005	8.272065e-001	1.000000e+000
2.679206284085775e-005	8.254758e-001	1.000000e+000
2.765974208393979e-005	8.236190e-001	1.000000e+000
2.872020434837137e-005	8.211908e-001	1.000000e+000
2.981642545582840e-005	8.187881e-001	1.000000e+000
3.108943017215948e-005	8.160658e-001	1.000000e+000
3.271198573633377e-005	8.124920e-001	1.000000e+000
3.435988180040177e-005	8.088892e-001	1.000000e+000
3.634289264617560e-005	8.045967e-001	1.000000e+000
3.915456415269913e-005	7.984693e-001	1.000000e+000
4.198803532439911e-005	7.923286e-001	1.000000e+000
4.540424727038814e-005	7.849401e-001	1.000000e+000
4.946848572029753e-005	7.761694e-001	1.000000e+000
6.336124710680395e-005	7.464434e-001	1.000000e+000
8.850227556549343e-005	6.935502e-001	1.000000e+000
1.093080724987532e-004	6.507402e-001	1.000000e+000
1.399888376667088e-004	5.890765e-001	1.000000e+000
1.741685251667088e-004	5.224031e-001	1.000000e+000
2.083482126667088e-004	4.580464e-001	1.000000e+000
2.425279001667088e-004	3.961358e-001	1.000000e+000
2.767075876667088e-004	3.367292e-001	1.000000e+000
3.108872751667088e-004	2.798723e-001	1.000000e+000
3.450669626667088e-004	2.255984e-001	1.000000e+000
3.792466501667089e-004	1.739300e-001	1.000000e+000
4.134263376667089e-004	1.248787e-001	1.000000e+000
4.476060251667089e-004	7.844673e-002	1.000000e+000
4.817857126667089e-004	3.462696e-002	1.000000e+000
5.159654001667090e-004	-6.595854e-003	1.000000e+000
5.501450876667090e-004	-4.524507e-002	1.000000e+000
5.843247751667090e-004	-8.135077e-002	1.000000e+000
6.185044626667091e-004	-1.149499e-001	1.000000e+000
6.526841501667091e-004	-1.460850e-001	1.000000e+000
6.868638376667091e-004	-1.748043e-001	1.000000e+000
7.210435251667092e-004	-2.011605e-001	1.000000e+000
7.552232126667092e-004	-2.252109e-001	1.000000e+000
7.894029001667092e-004	-2.470163e-001	1.000000e+000
8.235825876667092e-004	-2.666412e-001	1.000000e+000
8.577622751667093e-004	-2.841525e-001	1.000000e+000
8.919419626667093e-004	-2.996199e-001	1.000000e+000
9.261216501667093e-004	-3.131151e-001	1.000000e+000
9.603013376667094e-004	-3.247114e-001	1.000000e+000
9.944810251667094e-004	-3.344834e-001	1.000000e+000
1.028660712666709e-003	-3.425067e-001	1.000000e+000
1.062840400166709e-003	-3.488575e-001	1.000000e+000
1.097020087666709e-003	-3.536125e-001	1.000000e+000
1.131199775166709e-003	-3.568483e-001	1.000000e+000
1.165379462666709e-003	-3.586416e-001	1.000000e+000
1.199559150166709e-003	-3.590683e-001	1.000000e+000
1.233738837666709e-003	-3.582041e-001	1.000000e+000
1.267918525166709e-003	-3.561236e-001	1.000000e+000
1.302098212666709e-003	-3.529004e-001	1.000000e+000
1.336277900166709e-003	-3.486072e-001	1.000000e+000
1.370457587666709e-003	-3.433151e-001	1.000000e+000
1.404637275166709e-003	-3.370939e-001	1.000000e+000
1.438816962666708e-003	-3.300118e-001	1.000000e+000
1.472996650166708e-003	-3.221353e-001	1.000000e+000
1.507176337666708e-003	-3.135292e-001	1.000000e+000
1.541356025166708e-003	-3.042564e-001	1.000000e+000
1.575535712666708e-003	-2.943778e-001	1.000000e+000
1.609715400166708e-003	-2.839526e-001	1.000000e+000
1.643895087666708e-003	-2.730377e-001	1.000000e+000
1.678074775166708e-003	-2.616883e-001	1.000000e+000
1.746434150166708e-003	-2.378948e-001	1.000000e+000
1.814793525166708e-003	-2.129703e-001	1.000000e+000
1.883152900166707e-003	-1.872792e-001	1.000000e+000
1.951512275166707e-003	-1.611528e-001	1.000000e+000
2.019871650166707e-003	-1.348894e-001	1.000000e+000
2.088231025166708e-003	-1.087557e-001	1.000000e+000
2.190770087666708e-003	-7.030672e-002	1.000000e+000
2.259129462666708e-003	-4.546674e-002	1.000000e+000
